run_date,fetched_at,category,sub_category,listing_id,title,address,price_text,price_yen,area_sqm,area_tsubo,unit_price_per_sqm,unit_price_per_tsubo,detail_text,detail_url
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100478911919,クリスティー深沢,東京都世田谷区深沢2,15万,150000.0,,,,,4階 | 15万円 15万円 | ワンルーム 34.97m 2,https://suumo.jp/chintai/jnc_000103605556/?bc=100478911919
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100475580069,深沢テラス,東京都世田谷区深沢2,20万,200000.0,,,,,2階 | 20万円 20万円 | 1SLDK 58.32m 2,https://suumo.jp/chintai/jnc_000103182912/?bc=100475580069
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100486160119,東急東横線 自由が丘駅 3階建 築8年,東京都世田谷区深沢2,14.5万,145000.0,,,,,3階 | 14.5万円 14.5万円 | 1LDK 40.87m 2,https://suumo.jp/chintai/jnc_000104509981/?bc=100486160119
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100487649113,サニーヒルズ,東京都世田谷区奥沢5,13.5万,135000.0,,,,,2階 | 13.5万円 27万円 | 1LDK 34.68m 2,https://suumo.jp/chintai/jnc_000103919766/?bc=100487649113
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100487610732,リベロ,東京都世田谷区奥沢4,14.5万,145000.0,,,,,- | 14.5万円 - | 2LDK 57.83m 2,https://suumo.jp/chintai/jnc_000104426082/?bc=100487610732
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100486084289,フレンシア玉川田園調布,東京都世田谷区玉川田園調布2,20万,200000.0,,,,,2階 | 20万円 20万円 | 1LDK 42m 2,https://suumo.jp/chintai/jnc_000104499353/?bc=100486084289
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100487717906,フレンシア玉川田園調布,東京都世田谷区玉川田園調布2,20万,200000.0,,,,,2階 | 20万円 20万円 | 1LDK 41.84m 2,https://suumo.jp/chintai/jnc_000104689331/?bc=100487717906
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100487764510,マノワール自由が丘,東京都世田谷区奥沢6,15.9万,159000.0,,,,,2階 | 15.9万円 - | 1LDK 46.17m 2,https://suumo.jp/chintai/jnc_000104745325/?bc=100487764510
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100487679515,東急東横線 自由が丘駅 3階建 築44年,東京都目黒区自由が丘1,15万,150000.0,,,,,3階 | 15万円 15万円 | 1LDK 45.45m 2,https://suumo.jp/chintai/jnc_000104699532/?bc=100487679515
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100487711095,東急東横線 自由が丘駅 3階建 築44年,東京都目黒区自由が丘1,15万,150000.0,,,,,3階 | 15万円 15万円 | 2DK 45.45m 2,https://suumo.jp/chintai/jnc_000104735472/?bc=100487711095
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100480170891,自由が丘カントリー倶楽部,東京都世田谷区奥沢5,12.5万,125000.0,,,,,3階 | 12.5万円 12.5万円 | 1K 25.31m 2,https://suumo.jp/chintai/jnc_000102869648/?bc=100480170891
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100480301072,自由が丘カントリー倶楽部,東京都世田谷区奥沢5,12.5万,125000.0,,,,,3階 | 12.5万円 12.5万円 | 1K 25.31m 2,https://suumo.jp/chintai/jnc_000103750418/?bc=100480301072
